# 5 nodes 100 servers

100,20,100,582.9836282730103
1,1,10,6.913449048995972
1,1,10,5.214928865432739
1,1,100,32.20808672904968
1,1,100,32.04412579536438
1,1,100,38.2535514831543
100,20,100,742.1650280952454
100,40,100,1211.006151676178
100,20,100,958.2124104499817
100,20,100,594.5663962364197
100,40,100,1987.3426406383514
100,60,100,2214.4247255325317
100,80,100,2917.7884917259216

change generations
10,20,100,924.74405169487
10,60,100,2127.6855878829956
10,80,100,2212.723247051239
10,100,100,3410.1810421943665

change pop size
10,50,20,399.9813983440399
10,50,40,555.7071011066437
10,50,60,834.8820159435272
10,50,80,1386.3490290641785
10,50,100,1372.7592442035675

server v standalone
20,10,20,60.89238882064819
20,20,20,157.10169625282288
20,30,20,217.8061671257019
20,40,20,317.56191062927246
20,50,20,401.6210262775421
